"user_id","tenant_code"
"392","default"
"393","default"
"394","default"
"395","default"
"396","default"
"397","default"
"398","default"
"399","default"
"400","default"
"401","default"
"402","default"
"403","default"
"404","default"
"405","default"
"406","default"
"407","default"
"408","default"
"409","default"
"410","default"
"411","default"
"412","default"
"413","default"
"414","default"
"415","default"
"416","default"
"417","default"
"418","default"
"419","default"
"420","default"
"421","default"
"422","default"
"423","default"
"424","default"
"425","default"
"426","default"
"427","default"
"428","default"
"429","default"
"430","default"
"431","default"
"432","default"
"433","default"
"434","default"
"435","default"
"436","default"
"437","default"
"438","default"
"439","default"
"440","default"
"441","default"
"442","default"
"443","default"
"444","default"
"445","default"
"446","default"
"447","default"
"448","default"
"449","default"
"450","default"
"451","default"
"452","default"
"453","default"
"454","default"
"455","default"
"456","default"
"457","default"
"458","default"
"459","default"
"460","default"
"461","default"
"462","default"
"463","default"
"464","default"
"465","default"
"466","default"
"467","default"
"468","default"
"469","default"
"470","default"
"471","default"
"472","default"
"473","default"
"474","default"
"475","default"
"476","default"
"477","default"
"478","default"
"479","default"
"480","default"
"481","default"
"482","default"
"483","default"
"484","default"
"485","default"
"486","default"
"487","default"
"488","default"
"489","default"
"490","default"
"491","default"
"492","default"
"493","default"
"494","default"
"495","default"
"496","default"
"497","default"
"498","default"
"499","default"
"500","default"
"501","default"
"502","default"
"503","default"
"504","default"
"505","default"
"506","default"
"507","default"
"508","default"
"509","default"
"510","default"
"511","default"
"512","default"
"513","default"
"514","default"
"515","default"
"516","default"
"517","default"
"518","default"
"519","default"
"520","default"
"521","default"
"522","default"
"523","default"
"524","default"
"525","default"
"526","default"
"527","default"
"528","default"
"529","default"
"530","default"
"531","default"
"532","default"
"533","default"
"534","default"
"549","default"
"55","default"
"550","default"
"551","default"
"552","default"
"553","default"
"555","default"
"556","default"
"557","default"
"558","default"
"559","default"
"56","default"
"560","default"
"561","default"
"562","default"
"563","default"
"564","default"
"565","default"
"566","default"
"567","default"
"568","default"
"569","default"
"570","default"
"571","default"
"572","default"
"574","default"
"575","default"
"576","default"
"577","default"
"578","default"
"579","default"
"58","default"
"580","default"
"581","default"
"583","default"
"584","default"
"585","default"
"586","default"
"587","default"
"588","default"
"589","default"
"59","default"
"590","default"
"591","default"
"592","default"
"593","default"
"594","default"
"595","default"
"596","default"
"597","default"
"598","default"
"599","default"
"60","default"
"600","default"
"601","default"
"602","default"
"603","default"
"604","default"
"605","default"
"606","default"
"607","default"
"608","default"
"609","default"
"61","default"
"610","default"
"611","default"
"612","default"
"613","default"
"614","default"
"615","default"
"616","default"
"617","default"
"619","default"
"62","default"
"620","default"
"621","default"
"622","default"
"623","default"
"624","default"
"625","default"
"626","default"
"627","default"
"628","default"
"629","default"
"63","default"
"630","default"
"631","default"
"632","default"
"633","default"
"634","default"
"635","default"
"636","default"
"637","default"
"638","default"
"639","default"
"64","default"
"640","default"
"641","default"
"642","default"
"643","default"
"644","default"
"645","default"
"646","default"
"647","default"
"648","default"
"649","default"
"65","default"
"650","default"
"651","default"
"652","default"
"653","default"
"654","default"
"655","default"
"657","default"
"659","default"
"66","default"
"661","default"
"662","default"
"663","default"
"664","default"
"666","default"
"667","default"
"669","default"
"67","default"
"670","default"
"671","default"
"672","default"
"674","default"
"675","default"
"677","default"
"678","default"
"679","default"
"68","default"
"680","default"
"682","default"
"683","default"
"684","default"
"685","default"
"687","default"
"688","default"
"689","default"
"69","default"
"690","default"
"691","default"
"692","default"
"693","default"
"694","default"
"695","default"
"699","default"
"7","default"
"70","default"
"71","default"
"711","default"
"712","default"
"713","default"
"72","default"
"73","default"
"74","default"
"75","default"
"76","default"
"77","default"
"78","default"
"79","default"
"80","default"
"81","default"
"82","default"
"83","default"
"84","default"
"85","default"
"86","default"
"87","default"
"88","default"
"89","default"
"90","default"
"91","default"
"92","default"
"93","default"
"94","default"
"95","default"
"96","default"
"97","default"
"98","default"
"99","default"
